AFRICA
DZA
AGO
BWA
BDI
CMR
CPV
CAF
TCD
COM
MYT
COG
COD
BEN
GNQ
ETH
ERI
DJI
GAB
GMB
GHA
GIN
CIV
KEN
LSO
LBR
LBY
MDG
MWI
MLI
MRT
MUS
MAR
MOZ
NAM
NER
NGA
GNB
REU
RWA
SHN
STP
SEN
SYC
SLE
SOM
ZAF
ZWE
SSD
ESH
SDN
SWZ
TGO
TUN
UGA
EGY
TZA
BFA
ZMB
